"альбом ","название песни","текст"
"Черновики, 2004","Рождество","Из далеких степей
Отныне никто не вернется к ней
У нее на груди
Навсегда умолк жук-скарабей
Но она весела
Ее сердце открыто для рыцарей
И закрыто для зла
И для демонов, и для полиции

Новый мне звук
Люди с веселыми лицами дверь открывают на стук
Книги желтеют страницами, рыбы скользят мимо рук
И Рождество!

Мой колпак в бубенцах
Он звенит на любое движение
Кто-то бросил в сердцах
Мы потеряны как поколение
Но разорви эту ткань
Напиши свое имя на радуге
И не тронь ни ростка
И будут праздники
И схлынут недуги

Новый мне звук
Люди с веселыми лицами дверь открывают на стук
Книги желтеют страницами, рыбы скользят мимо рук
И Рождество!"
"Черновики, 2004","Пурга Кочерга","Ох, пурга-кочерга !
Карусель между явью и невью
Отметелила нашу деревню
У меня вся изба в синяках

А печная труба
Словно шишка во лбу
Озорные мальчишки
Закидали снежками избу
И поехала крыша
Поехала крыша
По-е-ха-ла

Ой, держи, все равно не удержишь
Только пальцы обрежешь об ее ледяные края
Поскользнешься на ровном железе
И сыграешь в колодец
А вода студенистая
И полководец
Перед сломанным жезлом
И проиграна битва
Вот погоди, дочитаю молитву
И весна отомстит за меня !"
"Черновики, 2004","Двуречье (Я ничего не скрыл)","Твоим строкам гореть сквозь темные века.
И песням долететь по белу свету.
Становится легка душа проводника
И солнце к лету.

Из двух сердец – одно, из месяцев - февраль.
В игольное ушко укрылась нитка
Нас тянет в города, где на болотах сумрачно и зыбко.
Стоит маяк, тревожно глядя в даль.

Я весь перед тобой, я ничего не скрыл.
Я сделал так, что небу стало жарко.
Все письма разорвал, все имена забыл –
И мне не жалко.
Я весь перед тобой, я ничего не скрыл.

На маковых полях дурман и благодать.
А в городах так просто потеряться.
Повиснуть на ремнях в разбитых «Жигулях» и целоваться.
Повиснуть на ремнях и целовать.

Я весь перед тобой, я ничего не скрыл.
Я сделал так, что небу стало жарко.
Все письма разорвал, все имена забыл –
И мне не жалко.
Я весь перед тобой, я ничего не скрыл."
"Черновики, 2004","Подводная лодка","Я пил очень долго воду с парами бензина
Я видел глаза в кислоте.
Я стал веселей после полбутылки джина
И стал на последней черте.
И волны плескались на уровне крыши
И белая пена неслась
Ты можешь кричать, но никто не услышит
Никто не хочет, чтобы ты спаслась

Подводная лодка в степях Украины
Уходит под воду и ей не помочь
Никто не приедет снимать нас со льдины
И вряд ли мы сможем прожить эту ночь

Ты слышишь шаги – это бродит по палубе осень
Вот по лестнице вниз кувырком
А может быть взять да все к черту и бросить
Уйти по воде босиком
А ты испугалась за медь и за злато
И всю ночь рисовала круги
А я стал похож на шального пирата
Без глаза и без ноги

Подводная лодка в степях Украины
Уходит под воду и ей не помочь
Никто не приедет снимать нас со льдины
И вряд ли мы сможем прожить эту ночь "
"Черновики, 2004","Аделаида","Ветер, туман и снег.
Мы одни в этом доме.
Не бойся стука в окно -
Это ко мне,
Это северный ветер,
Мы у него в ладонях.
Но северный ветер - мой друг,
Он хранит все, что скрыто.
Он сделает так,
Что небо станет свободным от туч
Там, где взойдет звезда Аделаида.

Я помню движение губ,
Прикосновенье руками.
Я слышал, что время стирает все.
Ты слышишь стук сердца -
Это коса нашла на камень.
И нет ни печали, ни зла,
Ни гордости, ни обиды.
Есть только северный ветер,
И он разбудит меня
Там, где взойдет звезда
Аделаида."
"Черновики, 2004","Братские могилы","На братских могилах не ставят крестов
И вдовы на них не рыдают, --
К ним кто-то приносит букеты цветов,
И Вечный огонь зажигают.
Здесь раньше вставала земля на дыбы,
А нынче гранитные плиты.
Здесь нет ни одной персональной судьбы --
Все судьбы в единую слиты.
А в Вечном огне видишь вспыхнувший танк,
Горящие русские хаты,
Горящий Смоленск и горящий рейхстаг,
Горящее сердце солдата.
У братских могил нет заплаканных вдов --
Сюда ходят люди покрепче,
На братских могилах не ставят крестов...
Но разве от этого легче?!"
"Черновики, 2004","Сумасшедший дом","Как пустилась в пляс метла-шалунья –
Вся изба ходила ходуном !
Ведро скакало кверху дном –
Его ногами били стулья,
И этот милый сердцу звон
Поднял всех пчел в соседских ульях,
И те, жужжа, умчались вон.

Во двор открытое окно
Крутилось, как веретено,
И ставни хлопали в ладоши.
Плясали лапти и калоши
Чарльстон, твист, рок-н-ролл и румбу.

Танцуя с пятки на носок
Комод опробовал вальсок
В обнимку с хромоногой тумбой.
Устав, решил поспать часок,
Снес дверь с петель и лег на клумбу.

С испугу разбежались мыши,
И кошка притворилась пнем.
Одна кастрюля со стряпней
Издав пронзительнейший свист
Ушла в трубу, крича : «Я – лифт !»

Крутился стол, качалось кресло.
Кадушка расплескала тесто.
Бил самовар по стенке лбом.
А я пришел домой под вечер –
И замер верстовым столбом."
"Раздвоение личности, 2007","Мелькнула чья-то тень","Мелькнула тень поздней ночью
Через цепочку, щелкнул замок
Скользнула вниз по перилам,
Двери открыла и за порог…

Мелькнула возле подъезда,
Сразу исчезла и появилась вновь.
Из арки дома напротив,
Из подворотен, из проходных дворов
Мелькнула чья-то тень…

И по сигналу мгновенно
Воет сирена, орет офицер,
В кого-то снайпер нацелен,
Центр оцеплен, город в кольце

Ни одного отпечатка,
Лает овчарка, вспышка слепит глаза,
Летят в эфир позывные,
Нервные, злые взвизгнули тормоза,
Мелькнула чья-то тень…

Мелькнула тень и пропала
Возле вокзала, рядом с метро,
В отдельно взятой квартире,
В кинокартине, в черном пальто

Мелькнула тень в переходе
В дней хороводе, в брошенном здании
Назад которые сутки
В чьем-то рассудке, в чьем-то сознании
Мелькнула чья-то тень…"
"Раздвоение личности, 2007","Скажи","Нева, великолепный вид.
Иди по головам, иди через гранит,
Переступи черту, впервые за сто лет,
Взгляни на красоту, взгляни на этот свет,
Шагая в темноту.

Скажи, что я ее люблю,
Без нее вся жизнь равна нулю,
Без нее вся жизнь равна нулю,

И дождь сквозь плащ и капюшон,
И пробегает дрожь, и страшно и смешно,
И тесно облакам, и кругом голова,
По буквам, по слогам возьми мои слова
И брось к ее ногам.

Скажи, что я ее люблю,
Без нее вся жизнь равна нулю,
Из-за нее вся жизнь равна нулю,

Постой, преодолевший страх,
Пропавший под водой, затерянный в песках.
Нарисовавший круг, опять в последний раз,
Неуловим для рук, невидимый для глаз,
Я превращаюсь в звук.

Скажи, что я ее люблю,
Без нее вся жизнь равна нулю,
Без нее вся жизнь равна нулю,
Из-за нее вся жизнь равна нулю."
"Раздвоение личности, 2007","Матч","Доброе утро, кухня, стакан воды !
Только проснулся - сразу попал под дым,
Только попал под дым, понеслась опять -

Полный стадион народу,
Время начинать матч,
Время начинать матч,
Время начинать

Мы готовы, мы пришли на фронт,
Судья так взволнован, что не может попасть свистком в рот.
Остались секунды, рекламу пора прекращать.

Полный стадион народу,
Время начинать матч,
Время начинать матч,
Время начинать

Да, мы знаем - защита противника играет на сто,
Хотя стоит не больше полтинника,
Полузащита не вылезает из грязи,
Ее собирали по всей средней Азии

И нападение - первое по девкам в забеге, -
Играет не хуже чем группа Чайф играет музыку регги,
Но даже в фирменных джинсах и фирменной майке,
Свердловску пока далеко до Ямайки,

Пока далеко до Ямайки и Питеру,
Судя по зимним ботинкам и зимнему свитеру,
Судя по наглой походке и не желанию прощать

Полный стадион народу,
Время начинать матч,
Время начинать матч,
Время начинать

Мгновение, остановись - ты прекрасно !
Мы будем играть широко и опасно,
Остались пол-пальца висеть на фаланге,
Я стою, как мудак не прикрытый на фланге,
Хочу защищаться, хочу нападать.

Полный стадион народу,
Время начинать матч,
Время начинать матч,
Время начинать"
"Раздвоение личности, 2007","На счастье!","Через год, через два,
Через три, через пять,
Через шесть, через семь,
Через сто двадцать семь,
Тридцать пять…

Если увижу тебя когда-нибудь опять,
То разорву на части.
Если увижу тебя когда-нибудь опять,
То разорву на счастье.

Через год, через два,
Через три, через пять,
Через шесть, через семь,
Через сто двадцать семь,
Тридцать пять…

Если увижу тебя когда-нибудь опять,
То разорву на части.
Если увижу тебя когда-нибудь опять,
То разорву на части.
Если увижу тебя когда-нибудь опять,
То разорву на счастье.

На счастье,
На счастье,
На счастье…

Если увижу тебя когда-нибудь опять,
То разорву…"
"Раздвоение личности, 2007","Волна","Сто тысяч вольт
Над больной головой.
И в глазах пелена -
И волна, и волна, и волна…

Идет волна,
Когда ты просто улыбаешься.
Идет волна,
Когда ты просто улыбаешься.

Сто тысяч ватт -
Или в рай, или в ад.
И вода – солона,
И волна, и волна, и волна…

Идет волна,
И ты не думая бросаешься.
Идет волна,
Вниз головой в нее бросаешься.
Идет волна, идет волна…
Идет волна,
Вниз головой в нее бросаешься.

Сто тысяч искр -
На свой страх и свой риск.
И до самого дна,
И волна, и волна, и волна, и волна, и волна…

Идет волна,
Волна, в которой ты теряешься.
Идет волна,
Волна, в которой ты теряешься.

Идет волна, идет волна,
Идет волна, 
Волна идет, ты не прощаешься."
"Раздвоение личности, 2007","Лепесток","Лети, лети лепесток, лети на запад, восток,
Лети на север, на юг, лети, наматывай круг,
Вослед сплошной полосе, на незнакомом шоссе,
По черно-белым полям, вдоль земляничных полян…

Лети, лети лепесток, лети на Дальний Восток,
Лети на ближний восток, лети, наматывай срок,
Быстрей тугих парусов, над острой кромкой лесов,
Над ровной гладью морей, чужой ракеты быстрей…

Лети, лети лепесток, лети скорей со всех ног,
Лети с большой высоты, минуя все блок-посты,
Не нарушая рядов, не оставляя следов,
Пока дымятся угли, лети, пока не сожгли…

Под стук железных дорог, лети под музыку рок,
Лети под музыку джаз, лети, и помни всех нас,
И вместе с пением птиц, едва достигнув границ,
Скажи, что с той стороны никто не хочет войны,

Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны,
Никто не хочет войны, никто не хочет войны…"
"Раздвоение личности, 2007","Император","
Смотрит охранник из будки
На окна, что плотно зашторены,
С криками «Выключи камеру!»,
Все объективы ладонями
Быстро закрыв. Руки скручены
На раскаленном капоте
И на раскаленном асфальте
И на надоевшей работе

И в особняке, за забором,
За плотно закрытыми шторами
Пересеклись миллиарды
Изломанных линий, которыми
Щедро покрыты ладони,
Собой заслонившие камеры,
И неразборчивым почерком
Вписаны кровью в историю
Все времена…

На… На… На тебе власть, Император, на…
На! На! На тебе власть, Император, на!
На? На? На тебе власть, Император, на?"
"Раздвоение личности, 2007","Бетховен","Медленно снег летит над крышами,
На всей земле вода и лед.
Звуки становятся неслышными,

Бетховен мертв!
Бетховен мертв!
Бетховен мертв!

На неопознанные ноты.
Взял и рассыпался аккорд,
Сомкнулись каменные своды,

Бетховен мертв!
Бетховен мертв!
Бетховен мертв!

Бетховен жив!
И музыка летит сквозь этажи,
И музыка летит сквозь этажи.

Сегодня утром так прекрасна жизнь!
Сегодня утром так прекрасна жизнь!
Сегодня утром так прекрасна жизнь!"
"Раздвоение личности, 2007","Маяк","Дым табачный воздух выел. Комната – глава в крученыховском аде.
Вспомни – за этим окном впервые руки твои исступленно гладил.
Сегодня сидим вот, сердце в железе. День еще – выгонишь, можешь быть, изругав.
В мутной передней долго не влезет сломанная дрожью рука в рукав.

Выбегу, тело в улицу брошу я. Дикий, обезумлюсь, отчаянием иссечась.
Не надо этого, дорогая, хорошая, давай простимся сейчас.
Все равно любовь моя – тяжкая гиря, ведь висит на тебе, куда ни бежала б.
Дай в последнем крике выреветь горечь обиженных жалоб.

Если быка трудом уморят – он уйдет, разляжется в холодных водах.
Кроме любви твоей, мне нету моря, а у любви твоей и плачем не вымолишь отдых.
Захочет покоя уставший слон – царственный ляжет в опожаренном песке.
Кроме любви твоей, мне нету солнца, а я и не знаю, где ты и с кем.

Если б так поэта измучила, он любимую на деньги б и славу выменял,
А мне ни один не радостен звон, кроме звона твоего любимого имени.
И в пролет не брошусь, и не выпью яда, и курок не смогу над виском нажать.
Надо мною, кроме твоего взгляда, не властно лезвие ни одного ножа.

Завтра забудешь, что тебя короновал, что душу цветущую любовью выжег,
И суетных дней взметенный карнавал растреплет страницы моих книжек…
Слов моих сухие листья ли заставят остановиться, жадно дыша?
Дай хоть последней нежностью выстелить твой уходящий шаг."
"Раздвоение личности, 2007","Праздник","Жили люди, жили. Жили, и не выжили.
Тянули люди жилы – жилы и не выдержали.
Жили. Не жалели. Пели. Оращались к Богу.
Дай пожить немного. Дай пожить еще немного.

Этот праздник не для всех;
Ни для этих ни для тех;
Господи ты лучше всех!

Пили люди, пили. Пили, и не выпили.
Пилили люди липы. Все деревья выпилили.
Пили. Не жалели. Пели. Оращались к Богу.
Дай пожить немного. Дай пожить еще немного.

Этот праздник не для всех;
Ни для этих ни для тех;
Господи ты лучше всех!

Господи, ты лучше всех!
Господи, ты лучше всех!
Господи, ты лучше всех!
Господи, ты лучше всех!

Господи, ты лучше всех!
Господи, ты лучше всех
Господи, ты лучше всех!
Господи, ты лучше всех!"
"Раздвоение личности, 2007","Сухари и сушки","Мне хорошо, мне хорошо с тобой…
Мне хорошо, мне хорошо с тобой…
Мне хорошо, мне хорошо с тобой…

Чай на столе, сухари и сушки,
Чай на столе, сухари и сушки,
Чай на столе, сухари и сушки,
Ночью убежала голова с подушки,

Ночью убежала голова с подушки,
Ночью убежала голова с подушки
Чай на столе, сухари и сушки,
Ночью убежала голова с подушки,

Ночью убежала голова с подушки,
Ночью убежала голова с подушки,
Чай на столе, сухари и сушки,
Ночью убежала голова с подушки,

Ночью убежала, убежала,
Убежала, убежала,
Убежала, убежала,
Убежала голова…
Голова!"
"Раздвоение личности, 2007","Мобильный","Спрятался город за темными шторами,
За фонарями и за светофорами
Про все забыл, про все забыл,
Про все забыл, про все забыл

Разведены мосты…
Чай твой давно остыл…

Не отвечает мобильный…

Не отвечает на крики о помощи,
Не различает звонки в черной полночи
Про все забыл, про все забыл,
Про все забыл, про все забыл

Город лежит во тьме…
Дело опять к зиме
Носятся автомобили
Разведены мосты
Чай твой давно остыл
Не отвечает мобильный…
Не отвечает мобильный… Не отвечает мобильный…
Не отвечает мобильный…
Мне…"
"Раздвоение личности, 2007","Колокол","Белый дымится рис,
Чей-то играет диск,
Сладок горячий чай,
Ярко горит свеча,
Ярко горит из тех окон.

Спит полутемный двор,
Вверх устремлен собор…
Что за прекрасный вид!
Колокол все звонит,
Колокол все звонит

О ком? О ком?
О ком? О ком?..

Быстро года пройдут…
В час, когда все уснут,
Остановив кино,
Ты распахнешь окно,
Ты отворишь окно тайком.

Тянется долго ночь,
Тихо – ни слов, ни нот,
Ярко луна горит,
Колокол все звонит,
Колокол все звонит

О ком? О ком?
О ком? О ком?.."
"Раздвоение личности, 2007","Пробки","Вдруг задрожали стекла, небо вдруг стало красным,
Телеэкраны ярко вспыхнули и погасли
Честно испив до дна свою половину литра,
Жмет пассажир на кнопки в темной кабине лифта.

Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло все пробки в доме.

Где-то гуляет ветер, неба почти касаясь,
В море бушуют волны, в море белеет парус.
Не различая прямо перед собою скалы,
Лестницы, улицы, крыши, церкви, сады, вокзалы.

Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло все пробки в доме.

Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло все пробки в доме.

Вдруг задрожали стекла, небо вдруг стало красным,
Телеэкраны ярко вспыхнули и погасли,
Плащ от дождя намок, весь почернел от влаги
Вдруг уместилась жизнь, вся на листе бумаги

Вдруг уместилась жизнь, вся на листе бумаги
Вдруг уместилась жизнь, вся на листе бумаги

Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло пробки в доме,
Вышибло все пробки в доме.

Все пробки в доме…
Все пробки в доме…
Все пробки в доме…
Все пробки в доме…
Все пробки в доме…
Все пробки в доме…"
"Раздвоение личности, 2007","Мамма Мия","О, Mamma Mia, тебя искал какой-то матрос,
Он был неделю не выбрит, был оборван и бос,
Он перебил всю посуду,
Он искал тебя, Mamma Mia,
Он перебил всю посуду,
Он искал тебя, Mamma Mia.

Он вновь явился под утро, держа в руках молоток,
Он влил в горящие трубы электрический сок,
Он разломал мне всю мебель,
Он искал тебя, Mamma Mia,
Он перебил всю посуду,
Разломал мне всю мебель, Mamma Mia.

О, Mamma Mia, теперь я сам такой же матрос,
Я неделю не выбрит, я оборван и бос,
Я перебью всю посуду,
Я найду тебя, Mamma Mia,
Я разломаю всю мебель,
Я найду тебя, Mamma Mia…"
"Раздвоение личности, 2007","Прочь из моей головы","Прочь из моей головы, наугад в темноту, c середины концерта,
Сквозь толпу, сквозь охрану, сквозь двери, сквозь парк,
Чтоб чуть-чуть постоять над водой на мосту.

Прочь из моей головы!
Здесь и так кавардак. Разбросав фотографии, выбросив вещи,
Уничтожив улики.
Все диски отправив в мусорный бак.

Прочь из моей головы!
Твой новый бойфренд пробил все пароли,
Вскрыл все твои ящики, прочитал мои письма к тебе.
Ни хуя себе! Ни хуя себе!

Прочь из моей головы!
Босиком, кувырком, с чемоданом в руке
Или без чемодана в руке – налегке, вдалеке
Пока я по тебе не проехал катком.

Прочь из моей головы!
Над Москвой на метле, через тернии к звездам.
С буквой «У» в левом верхнем углу,
В треугольнике равностороннем на заднем стекле.

Прочь из моей головы!
Оборвав провода, спутав карты, фигуры сметая с доски,
Разбивая шлагбаумы на полном ходу,
Оставляя разрушенными города.

Из моей головы, где сферой становится плоскость,
Где то горит фейерверк, то тлеет свечка из воска,
Где музыка Баха смешалась с полотнами Босха
И не дружат между собой полушария мозга.

Где крутится строчка одна днем и ночью :
«Вали из моей головы очень срочно»
И вместе с собой забери о тебе мои мысли,
Чтобы Богу не показалось что мы в этом мире слишком зависли."
"Раздвоение личности, 2007","Сын","Осенью легла пыль,
Осенью угас пыл,
Солнца потускнел жар,
Осенью весь мир жаль.

Осенью весь мир жаль,
Скоро доставать шарф,
Греть вино и есть сыр
Осенью придет сын.

Осенью придет сын
Греть вино и есть сыр,
Вверх расти из всех жил,
В мире проводить жизнь.

В мире проводить жизнь
Вверх расти из всех жил
Греть вино и есть сыр
Осенью придет сын,
Осенью придет сын,
Осенью придет сын."
"Сигнал из космоса, 2009","Настройка звука","Настройка звука 
Вошла без стука -
Держись, подруга !
Лови свой черно-белый кайф !!! "
"Сигнал из космоса, 2009","Дыши легко","Дыши легко,
Легко, легко...
Дыши легко,
Легко, легко...
Дыши, насколько можешь глубоко, -
Мерцает свет за чёрной пеленой,
Луна обходит Землю стороной,
Ты навсегда останешься со мной.

Кипела кровь...
Кипела кровь, плескалась за края
Из берегов,
Из берегов...
И корабли бросали якоря,
Нас ветер закрутил среди морей,
И капитан кричал :""Скорей, скорей !""
И корабли срывало с якорей
Волной; 
Не виден свет за чёрной пеленой,
Луна обходит Землю стороной,
Ты навсегда останешься со мной.

Дыши легко,
Легко, легко...
Дыши легко,
Легко, легко...
Дыши, насколько можешь глубоко, -
Мерцает свет за чёрной пеленой,
Луна обходит землю стороной,
Ты навсегда останешься со мной.

Дыши легко,
Легко, легко...
Дыши легко,
Легко, легко...
Дыши легко..."
"Сигнал из космоса, 2009","Добро пожаловать!","Добро пожаловать на этот белый свет, -
Привет! 
Ты словно прилетел сюда с других планет
Всех нас порадовать.

Добро пожаловать на этот край Земли, 
Здесь все свои! 
Мы позовём из океана корабли
И будем праздновать! 

Добро пожаловать! Останься с нами, 
Пусть когда-нибудь
Любая жизнь, давно закончившая путь,
Начнется заново.

Добро пожаловать !"
"Сигнал из космоса, 2009","Больше никакого рок-н-ролла","Жар по телу бродит
Хороводы водит
Страшно ломит кости
Не пускает в гости
Льется пот ручьями
Утром, днем, ночами
Видимо, напрасно
Приняты лекарства
Градусник спросонок
Скоро будет 40
Не спасла микстура
Лезет словно дура
Вверх температура

Больше никакого рок-н-ролла ...

Бродит жар по телу
Нервную систему
Крутит так как хочет
Утром, днем и ночью
Раз пришлось родиться
Дайте насладиться
Дайте надышаться
Дайте людям шансы
Реализоваться
В этот мир ворваться
В этот мир влюбиться
В этот мир врубиться
Разочароваться

Больше никакого рок-н-ролла ...

Тихо в Поднебесной
Все осталось в детстве
Все осталось в прошлом
В Поднебесной тошно
Остается только
Под электротоком
Наблюдать событий
Порванные нити
Видеть пух и перья
Рухнувших империй
В голове зависли
Медленные мысли
Сын растет так быстро"
"Сигнал из космоса, 2009","Вниз головой","Что случилось с этим миром ?
Или сдулся шар земной ?
Всё переменилось мигом,
Всё случилось мирно
Всё промчалось мимо
Я иду домой
(Вниз головой...)

Этот мир перевернулся 
И завис передо мной 
Вокруг света обернулся 
Убежал, вернулся 
Закричал, качнулся
Я иду, я падаю, падаю, падаю
Вниз головой
Я падаю вниз головой

Прощай навсегда шар земной,
Но мы расстаемся с тобой
Со всей разноцветной листвой
Я падаю вниз головой.
Со всей разноцветной листвой
Прощай навсегда шар земной,
Но мы расстаемся с тобой
Со всей разноцветной листвой
Я падаю вниз головой.

Ты, пожалуйста, не бойся,
Так случается со мной.
Ни о чём не беспокойся,
На замок закройся,
С головой укройся,
Я иду домой,
Я иду домой,
Я иду домой"
"Сигнал из космоса, 2009","Чердак","Жил-был дом в чистом поле за углом
В городской черте, на огромной высоте
Далеко до нашей эры
В доме жил неизвестный гражданин
Он курил табак, залезая на чердак,
Закрывая плотно двери
Далеко до нашей эры

Ключ в руке, никого на чердаке
За окном луна, у открытого окна
С неизменной сигаретой
Дни неслись, как-то незаметно из
Дыма табака получались облака
И летели над планетой,
Летели над планетой,
Летели над планетой,
Летели над планетой...
Пока... Пока... Пока... Пока...
Пока... Я схожу с ума...
Облака, пока... Я схожу с ума...
Облака, пока... Я схожу с ума...
Облака, пока... Я схожу с ума...

Дай мне знак, если распустился мак
Под грибным дождём, если всё идет путём
И усыпан путь цветами.
Дай мне знак, если что-нибудь не так,
Если дым столбом в синем небе голубом
И горит чердак над нами..."
"Сигнал из космоса, 2009","Зелёная песня","Привет! 
Привет, зелёный свет,
Зелёный свет, привет,
Привет на много лет.
На много лет привет!

Салют!
Я не останусь тут,
Меня давно зовут,
Прохожие поют,
Часы тринадцать бьют,

Мы улетаем на другую планету.
Мы улетаем на другую планету.
Мы улетаем на другую планету.
Мы улетаем на другую планету...

Прощай! 
Прощай, зелёный чай,
Зелёный чай, прощай,
Прощай, пустой причал,
Пустой причал, прощай.

Мы улетаем на другую планету.
Мы улетаем на другую планету.
Мы улетаем на другую планету.
Мы улетаем на другую планету..."
"Сигнал из космоса, 2009","Камень","Катится камень.
Странно, сегодня опять целый день помехи в эфире.
Все происходит как будто в каком-то замедленном фильме,
Там, на экране –
Катится камень,
Переживая то страх, то печаль, то смешные моменты,
Катится камень, с тоской в небесах наблюдая – кометы
Машут хвостами;
Катится камень. Катится камень. Катится камень,
Не разбирая дороги, без смысла, без цели, без карты,
Он, кардинально меняя свои координаты,
С камнем в кармане,
Катится с места,
Хочет быстрее других докатиться до финишной ленты,
И закричать :
""Отпустите меня с этой третьей от Солнца планеты !
Мне здесь так тесно,
Мне здесь так душно,
Мне надоела на части людьми разделенная суша,
Я поднимаю глаза, я тоскую по родственным душам,
Мне здесь так скучно !..""

Катится камень,
Мир ощущая вокруг с каждым днем все острей, все живее,
Катится камень, не в силах бороться с земным притяженьем,
С камнем на шее,
Катится камень,
Просто не хочет лежать вдоль дорог у людей под ногами,
Катится в воду с моста, и вода разойдется кругами
Над берегами
Ждите цунами"
"Сигнал из космоса, 2009","3307-ой","Вдоль дорог лежал песок
Вникуда текла вода
Шел 3007й
Я умер

Из угла ползла игла
На коралл летел корабль
Шел 3007й
Я умер"
"Сигнал из космоса, 2009","Без тормозов","Вдоль по дороге напрямик
Ехал разбитый грузовик.
Двигатель сдох совсем,
Аккумулятор сел,
Бьёт по земле баллон,
Гвоздей наглотался он.
И без тормозов,
Без тормозов,
Без тормозов...

Так бы он долго и пылил,
Но только водитель закурил -
Громко издав сигнал,
Вдруг грузовик погнал,
Прямо на красный свет,
По встречной полосе.
И без тормозов,
Без тормозов,
Без тормозов...

Он разогнался до трехсот
И тут пешеходный переход,
И на переходе - пешеход

И грузовик при всех
Резко ушел наверх,
Через поля, луга,
Прямо на облака.
И без тормозов,
Без тормозов,
Без тормозов...

И без тормозов,
Без тормозов,
Без тормозов..."
"Сигнал из космоса, 2009","Корабль ждёт!","Какой противный аккорд !
Какой-такой поставил знак, закрыл доселе здесь существовавший левый поворот?
Мы едем в порт, у нас цейтнот, таксист бухой, шансон орёт, корабль ждёт !

Какой убойный косяк !
Я думал жизнь полна кошмаров, вурдалаков, санитаров - вышло всё как раз так !
Реинкарнация возможна - надо только проплатить до 19:00, 
а то закроется банк !!!

Какое чувство растет !
Через мгновение с пассажирами, командой, капитаном, duty-free, бассейном, сауной, камином улетает пароход
Ты не волнуйся - мы успеем, банк открыт, проспект свободен, пробок нет, таксист бухой, шансон орёт, корабль ждёт !!!

(Я так люблю этот строй !...)"
"Сигнал из космоса, 2009","Человек не спал","Человек среди ночи начал ходить по квартире
Бормотать стихи, напевать что-то в странном стиле,
Измерять шагами длину своего ночлега,
Словно, он ни за что ударил в лицо человека.

И пролилась кровь на ковер, на рукав, на стены
Тетива гудела, повсюду летали стрелы
Хорошо, что ребёнок в соседней комнате спал в постели.

Человек не спал, он метался как зверь по клетке
(Уже звонили в полицию его соседи, соседки)
Он начал петь очень громко, протяжно, грустно
Над головой в темноте закачалась люстра

Он закричал, что не видит света
В конце тоннеля, что скоро лето.
Что он не здесь, он остался где-то

Что он дошел, что стоит на грани,
Что этой ноты нет в этой гамме,
И что скорее всего он - Гамлет

И ненавидит людские толпы.
И тут в квартиру вбежали копы,
Он получил сапогом под дыхло,
И свет погас и в квартире стихло,
И свет погас и в квартире стихло,
И свет погас и в квартире стихло..."
